Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,Age Group,Latitude,Longitude
Afghanistan,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",99.31147860502,64.39996233053,139.29900639914,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",142.81280855551,96.49520593825,200.03483666587,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",152.52558018511,98.6471798184,211.91452077889,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",190.92060563186,130.04153044263,261.88444610823,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",130.19832205857,83.09934882072,179.7661529099,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",178.84359072626,118.64633173602,247.8821980428,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",140.87187026095,93.01234210518,194.29249879382,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",170.14061532982,115.59914172615,242.8879103839,50-69,26.820553,30.802498
Iran (Islamic Republic of),2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",155.5146218878,101.18087029371,214.15182607098,50-69,32.4279,53.688
Iran (Islamic Republic of),2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",203.70232808895,135.95209999931998,282.95385708847,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",127.95565329994,83.59884595594,179.26360467241,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",176.78301269263,117.02584467704,247.48330910961,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",136.05609378152002,88.95843870643999,188.56496426564,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",181.455155106,121.62275100504,253.75797583243,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",127.95706663679,82.26808708772,179.97495259629,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",161.45288908224,108.90886186128,226.54309319543,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",158.62378843109,102.63952751989,219.32549147116,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",220.01408106832,143.65189917661,308.96563162052,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",127.9317283157,82.06768067706,181.86763255482,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",165.33346025048,108.53411811593,232.70865014589,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",149.31640682594,97.40522578814,209.72191873486005,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",183.17429025184,121.84769936276,258.65433403978,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",112.1878879039,73.19571894803,155.01799748066,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",177.51897718012,118.69794004273,250.47423049833,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",135.9663986728,90.10742683359,186.90266506024,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",179.74891986115,119.34917682976,252.75960420106,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",102.89415703796,67.12012120424,146.09779544755,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",149.63004237164,101.42715093271,205.28017097207,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",115.28429934186,75.08324541579,162.71867661471,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",149.51678884029,99.15015874575,210.75952633701,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",137.72900027877998,87.61580470419,191.52217416278,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",167.3769091923,109.15306006024,236.16804202055,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",145.09744562191,93.34964946828,204.61730732371,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",188.10715095157,123.91696203251,262.21829472373,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",163.25864658117,108.8424780119,229.82108005652,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",210.00201847857,139.72475267853,291.433901483,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",166.11933769943,106.64239780382,232.9779189383,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",225.14990235527,147.96263269662,312.66445398706,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",96.18807315253,63.48806179217,133.43789687262,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",132.22982547191998,86.7569688381,183.39579426116,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",147.38698788153002,95.12894119757,208.18819654515,50-69,15.552727,48.516388
Yemen,2021.0,50-69 years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",188.14202201905,125.59807298192,261.18708663447,50-69,15.552727,48.516388
Afghanistan,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",18.84461708281,11.23036974673,29.10756742537,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",18.44320514955,10.28567998986,28.078594309320003,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",25.86718030484,15.61080394307,39.43387094773,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",21.84733652505,13.50418992657,32.27607751705,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",25.5806786833,16.08937853451,36.81184410085,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",20.37449393568,12.56301059646,30.08942977206,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",36.89460544454,22.820089780990003,55.13190462215,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",32.30309985164,20.78723728578,47.11446354379,50-69,26.820553,30.802498
